"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1808803367529164842","Thu Jul 04 10:05:44 +0000 2024","0","@yasminisgood Kirim ransomware yah","1808804377634967970","","yasminisgood","in","Jakarta/Tangerang","0","1","0","https://x.com/devilcain666/status/1808804377634967970","1449985637818327041","devilcain666"
"1808804193186296051","Thu Jul 04 10:05:00 +0000 2024","0","Dirjen Aplikasi Informatika Kemenkominfo Semuel Pangerapan mundur dari jabatannya. Semuel mengaku alasan pengunduran dirinya berkaitan dengan serangan ransomware yang menyerang Pusat Data Nasional (PDN) belum lama ini. https://t.co/R7t0IqTA2V","1808804193186296051","https://pbs.twimg.com/media/GRog6HObMAAJp4O.jpg","","in","Indonesia","0","1","0","https://x.com/KompasTV/status/1808804193186296051","71436318","KompasTV"
"1808803566871851507","Thu Jul 04 10:02:30 +0000 2024","0","Dirjen Aptika Mundur Ketua DPR Minta Semua Pihak yang Lalai Bertanggung Jawab #dirjenaptikamundur #kominfo #ransomware #peretasan #puanmaharani https://t.co/GPir5Hpsxa","1808803566871851507","","","in","","0","0","0","https://x.com/sinpotv/status/1808803566871851507","1012174601055449088","sinpotv"
"1808725899539272055","Thu Jul 04 09:50:21 +0000 2024","0","@Ranukumbolo77 @kevinpramudya_ Mungkin waktu itu sistem imigrasi soetta lagi kena ransomware juga mas ","1808800507139666017","","Ranukumbolo77","in","Kadang WITA, kadang WIB.","0","0","0","https://x.com/madp2708/status/1808800507139666017","252608766","madp2708"
"1808800084768751755","Thu Jul 04 09:48:40 +0000 2024","0","Brain Cipher sudah merilis kunci untuk membuka enkripsi ransomware yang menyerang PDNS 2. Namun ternyata ada dua ransomware yang beraksi di PDNS 2. https://t.co/FtkmhnLDny","1808800084768751755","","","in","Jakarta, Indonesia","0","0","1","https://x.com/detikinet/status/1808800084768751755","135815019","detikinet"
"1808797174278598818","Thu Jul 04 09:37:06 +0000 2024","0","Ransomware Serang PDN Dirjen Aptika Kominfo Semuel Abrijani Pangerapan Pilih Mundur https://t.co/esqVfEoOj7","1808797174278598818","","","in","","0","0","0","https://x.com/bisnisbandung63/status/1808797174278598818","1690969676287983616","bisnisbandung63"
"1808795031135998387","Thu Jul 04 09:28:35 +0000 2024","0","Pejabat Kominfo Mundur Kunci Ransomware Diberi Cuma-Cuma: Akhir Drama Peretasan PDNS? https://t.co/JkBagwV0kI https://t.co/Co2ViyjtlI","1808795031135998387","https://pbs.twimg.com/media/GRohfrsbMAAOeWs.jpg","","in","Jakarta, Indonesia","0","0","0","https://x.com/Bisniscom/status/1808795031135998387","118646322","Bisniscom"
"1808793683413905525","Thu Jul 04 09:23:14 +0000 2024","0","PDN Diserang Ransomware Dirjen Aptika Kominfo Semuel Pangerapan Mengundurkan Diri Sebut Kejadian Menjadi Tanggung Jawab Moralnya https://t.co/pHj0vXIhlV","1808793683413905525","","","in","indonesia","0","0","0","https://x.com/suaramerdeka/status/1808793683413905525","219527452","suaramerdeka"
"1808793523442880792","Thu Jul 04 09:22:36 +0000 2024","1","Semuel Pangerapan mundur dari Ditjen Aptika Kominfo sebagai tanggung jawab moral serangan ransomware Brain Cipher ke PDNS 2. Apa rencana selanjutnya? https://t.co/0Hhj4xpk04","1808793523442880792","","","in","Jakarta, Indonesia","0","1","1","https://x.com/detikinet/status/1808793523442880792","135815019","detikinet"
"1808793315816714465","Thu Jul 04 09:21:46 +0000 2024","0","Btw perusahaan yg bikin aplikasi pembayaran vendor pake upload2 dokumen gitu apa ga takut yaa yg diupload sama vendornya itu ransomware?? Kayanya pas upload dokumen ga ada scan2 virus semacamnya deh","1808793315816714465","","","in","Embogor","0","0","0","https://x.com/metronome21/status/1808793315816714465","398101637","metronome21"
